date,daily_revenue_interview_coder,cumulative_revenue_interview_coder,daily_revenue_cluely,cumulative_revenue_cluely,total_daily_revenue,total_cumulative_revenue
2025-01-02,250,250,0,0,250,250
2025-01-03,3870,4120,0,0,3870,4120
2025-01-04,10762.13,14882.13,0,0,10762.13,14882.13
2025-01-05,8495.72,23377.85,6500,6500,14995.72,29877.85
2025-02-02,620,23997.85,0,6500,620,30497.85
2025-02-03,6630.6,30628.449999999997,0,6500,6630.6,37128.45
2025-02-04,11790.31,42418.759999999995,0,6500,11790.31,48918.759999999995
2025-02-05,7962.049999999998,50380.80999999999,4420,10920,12382.05,61300.81
2025-03-02,770,51150.80999999999,0,10920,770,62070.81
2025-03-03,8590,59740.80999999999,0,10920,8590,70660.81
2025-03-04,10353.169999999998,70093.97999999998,0,10920,10353.169999999998,81013.98
2025-03-05,6976.459999999999,77070.43999999997,2220,13140,9196.46,90210.44
2025-04-02,730,77800.43999999997,0,13140,730,90940.44
2025-04-03,10000,87800.43999999997,0,13140,10000,100940.44
2025-04-04,9481.250000000005,97281.68999999997,0,13140,9481.250000000005,110421.69
2025-04-05,5597.459999999999,102879.14999999997,3460,16600,9057.46,119479.15
2025-05-02,360,103239.14999999997,0,16600,360,119839.15
2025-05-03,8170,111409.14999999997,0,16600,8170,128009.15
2025-05-04,6383.019999999999,117792.16999999997,0,16600,6383.019999999999,134392.16999999998
2025-05-05,8492.490000000002,126284.65999999997,5600,22200,14092.490000000002,148484.65999999997
2025-06-02,340,126624.65999999997,0,22200,340,148824.65999999997
2025-06-03,7660,134284.65999999997,0,22200,7660,156484.65999999997
2025-06-04,8814.049999999994,143098.70999999996,0,22200,8814.049999999994,165298.70999999996
2025-06-05,7771.99,150870.69999999995,4800,27000,12571.99,177870.69999999995
2025-07-02,310,151180.69999999995,0,27000,310,178180.69999999995
2025-07-03,4750,155930.69999999995,0,27000,4750,182930.69999999995
2025-07-04,11192.349999999999,167123.04999999996,0,27000,11192.349999999999,194123.04999999996
2025-07-05,7576.62,174699.66999999995,4500,31500,12076.619999999999,206199.66999999995
2025-08-02,370,175069.66999999995,0,31500,370,206569.66999999995
2025-08-03,5570,180639.66999999995,0,31500,5570,212139.66999999995
2025-08-04,9341.829999999998,189981.49999999994,0,31500,9341.829999999998,221481.49999999994
2025-08-05,6106.869999999999,196088.36999999994,4180,35680,10286.869999999999,231768.36999999994
2025-09-02,420,196508.36999999994,0,35680,420,232188.36999999994
2025-09-03,6130,202638.36999999994,0,35680,6130,238318.36999999994
2025-09-04,9374.420000000004,212012.78999999995,0,35680,9374.420000000004,247692.78999999995
2025-09-05,5387.649999999999,217400.43999999994,2860,38540,8247.649999999998,255940.43999999994
2025-10-01,20,217420.43999999994,0,38540,20,255960.43999999994
2025-10-02,400,217820.43999999994,0,38540,400,256360.43999999994
2025-10-03,8810,226630.43999999994,0,38540,8810,265170.43999999994
2025-10-04,9800.819999999998,236431.25999999995,0,38540,9800.819999999998,274971.25999999995
2025-10-05,5900.589999999999,242331.84999999995,2020,40560,7920.589999999999,282891.85
2025-11-02,380,242711.84999999995,0,40560,380,283271.85
2025-11-03,8130.01,250841.85999999996,0,40560,8130.01,291401.86
2025-11-04,8156.16,258998.01999999996,0,40560,8156.16,299558.01999999996
2025-11-05,5541.18,264539.19999999995,2900,43460,8441.18,307999.19999999995
2025-12-01,20,264559.19999999995,0,43460,20,308019.19999999995
2025-12-02,450,265009.19999999995,0,43460,450,308469.19999999995
2025-12-03,8080,273089.19999999995,0,43460,8080,316549.19999999995
2025-12-04,8044.829999999998,281134.02999999997,0,43460,8044.829999999998,324594.02999999997
2025-12-05,7524.29,288658.31999999995,4260,47720,11784.29,336378.31999999995
2025-13-01,40,288698.31999999995,0,47720,40,336418.31999999995
2025-13-02,550,289248.31999999995,0,47720,550,336968.31999999995
2025-13-03,8555,297803.31999999995,0,47720,8555,345523.31999999995
2025-13-04,8539.979999999996,306343.29999999993,0,47720,8539.979999999996,354063.29999999993
2025-13-05,6022.6500000000015,312365.94999999995,4860,52580,10882.650000000001,364945.94999999995
2025-14-02,450,312815.94999999995,0,52580,450,365395.94999999995
2025-14-03,5463,318278.94999999995,0,52580,5463,370858.94999999995
2025-14-04,10562.000000000002,328840.94999999995,0,52580,10562.000000000002,381420.94999999995
2025-14-05,5938.77,334779.72,3960,56540,9898.77,391319.72
2025-15-02,400,335179.72,0,56540,400,391719.72
2025-15-03,3680,338859.72,0,56540,3680,395399.72
2025-15-04,7124.089999999999,345983.81,0,56540,7124.089999999999,402523.81
2025-15-05,7058.37,353042.18,4260,60800,11318.369999999999,413842.18
2025-16-01,20,353062.18,0,60800,20,413862.18
2025-16-02,540,353602.18,0,60800,540,414402.18
2025-16-03,5046.96,358649.14,0,60800,5046.96,419449.14
2025-16-04,6873.579999999998,365522.72000000003,0,60800,6873.579999999998,426322.72000000003
2025-16-05,5889.32,371412.04000000004,2780,63580,8669.32,434992.04000000004
2025-17-02,890,372302.04000000004,0,63580,890,435882.04000000004
2025-17-03,7883.87,380185.91000000003,0,63580,7883.87,443765.91000000003
2025-17-04,8807.409999999998,388993.32,0,63580,8807.409999999998,452573.32
2025-17-05,4393.52,393386.84,1900,65480,6293.52,458866.84
2025-18-01,20,393406.84,0,65480,20,458886.84
2025-18-02,500,393906.84,0,65480,500,459386.84
2025-18-03,7111.540000000001,401018.38,0,65480,7111.540000000001,466498.38
2025-18-04,5571.709999999999,406590.09,0,65480,5571.709999999999,472070.09
2025-18-05,5924.870000000001,412514.96,2880,68360,8804.87,480874.96
2025-19-02,950,413464.96,0,68360,950,481824.96
2025-19-03,7386.84,420851.80000000005,0,68360,7386.84,489211.80000000005
2025-19-04,4536.500000000001,425388.30000000005,0,68360,4536.500000000001,493748.30000000005
2025-19-05,5767.809999999997,431156.11000000004,5340,73700,11107.809999999998,504856.11000000004
2025-20-01,20,431176.11000000004,0,73700,20,504876.11000000004
2025-20-02,740,431916.11000000004,0,73700,740,505616.11000000004
2025-20-03,6712.01,438628.12000000005,0,73700,6712.01,512328.12000000005
2025-20-04,7077.750000000001,445705.87000000005,4680,78380,11757.75,524085.87000000005
2025-20-05,5640.359999999999,451346.23000000004,5800,84180,11440.359999999999,535526.2300000001
2025-21-01,40,451386.23000000004,0,84180,40,535566.2300000001
2025-21-02,390,451776.23000000004,0,84180,390,535956.2300000001
2025-21-03,4715.049999999999,456491.28,0,84180,4715.049999999999,540671.2800000001
2025-21-04,7717.700000000002,464208.98000000004,7680,91860,15397.7,556068.9800000001
2025-21-05,7070.17,471279.15,6040,97900,13110.17,569179.1500000001
2025-22-02,480,471759.15,0,97900,480,569659.1500000001
2025-22-03,4720.25,476479.4,0,97900,4720.25,574379.4000000001
2025-22-04,6387.6900000000005,482867.09,6100,104000,12487.69,586867.0900000001
2025-22-05,6447.86,489314.95,4960,108960,11407.86,598274.9500000001
2025-23-02,610,489924.95,0,108960,610,598884.9500000001
2025-23-03,6481.469999999998,496406.42,0,108960,6481.469999999998,605366.42
2025-23-04,8155.67,504562.08999999997,9460,118420,17615.67,622982.0900000001
2025-23-05,5339.339999999999,509901.43,4400,122820,9739.34,632721.43
2025-24-02,1020,510921.43,0,122820,1020,633741.43
2025-24-03,6747.98,517669.41,0,122820,6747.98,640489.41
2025-24-04,6615.080000000002,524284.49,6640,129460,13255.080000000002,653744.49
2025-24-05,4741.470000000001,529025.96,2840,132300,7581.470000000001,661325.96
2025-25-02,1150,530175.96,0,132300,1150,662475.96
2025-25-03,6894.4800000000005,537070.44,0,132300,6894.4800000000005,669370.44
2025-25-04,6369.590000000001,543440.0299999999,4720,137020,11089.59,680460.0299999999
2025-26-01,20,543460.0299999999,0,137020,20,680480.0299999999
2025-26-02,2900,546360.0299999999,0,137020,2900,683380.0299999999
2025-26-03,8926.340000000002,555286.3699999999,0,137020,8926.340000000002,692306.3699999999
2025-26-04,5240.909999999999,560527.2799999999,1920,138940,7160.909999999999,699467.2799999999
2025-27-01,20,560547.2799999999,0,138940,20,699487.2799999999
2025-27-02,3850,564397.2799999999,0,138940,3850,703337.2799999999
2025-27-03,14489.910000000002,578887.19,0,138940,14489.910000000002,717827.19
2025-27-04,7655.789999999997,586542.98,3260,142200,10915.789999999997,728742.98
2025-28-01,100,586642.98,0,142200,100,728842.98
2025-28-02,3990,590632.98,0,142200,3990,732832.98
2025-28-03,11592.419999999998,602225.4,0,142200,11592.419999999998,744425.4
2025-28-04,8856.630000000001,611082.03,4460,146660,13316.630000000001,757742.03
2025-29-01,250,611332.03,0,146660,250,757992.03
2025-29-03,7498.630000000004,618830.66,0,146660,7498.630000000004,765490.66
2025-29-04,8442.910000000005,627273.5700000001,4380,151040,12822.910000000005,778313.5700000001
2025-30-01,80,627353.5700000001,0,151040,80,778393.5700000001
2025-30-03,7999.710000000005,635353.28,0,151040,7999.710000000005,786393.28
2025-30-04,9447.87,644801.15,5400,156440,14847.87,801241.15
2025-31-01,180,644981.15,0,156440,180,801421.15
2025-31-03,11030.859999999991,656012.01,0,156440,11030.859999999991,812452.01